@RELATION data

@ATTRIBUTE ponzi {ponzi, non_ponzi}
@ATTRIBUTE nbr_tx_in NUMERIC
@ATTRIBUTE nbr_tx_out NUMERIC
@ATTRIBUTE Tot_in NUMERIC
@ATTRIBUTE Tot_out NUMERIC
@ATTRIBUTE num_paid_in_addr NUMERIC
@ATTRIBUTE num_paid_out_addr NUMERIC
@ATTRIBUTE overlap_in_out_addr NUMERIC
@ATTRIBUTE mean_in NUMERIC
@ATTRIBUTE mean_out NUMERIC
@ATTRIBUTE sdev_in NUMERIC
@ATTRIBUTE sdev_out NUMERIC
@ATTRIBUTE gini_in NUMERIC
@ATTRIBUTE gini_out NUMERIC
@ATTRIBUTE avg_time_btw_tx NUMERIC
@ATTRIBUTE gini_time_out NUMERIC
@ATTRIBUTE lifetime NUMERIC
@ATTRIBUTE size_info NUMERIC

@DATA
ponzi,13,20,9.9e+19,9.9e+19,13,20,4,7.61538461538e+18,4.95e+18,3.24721091065e+18,4.387197283e+18,0.153846153846,0.44696969697,21.4848484848,4.77892055413e-08,709.0,2080
ponzi,4,2,4e+16,1.75e+16,4,2,1,1e+16,8.75e+15,1.22474487139e+16,4.75e+15,0.625,0.271428571429,17668.0,1.17346707952e-07,106008.0,1908
ponzi,1,0,0.0,0.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2174
ponzi,21,16,1.62180001e+20,1.6e+20,21,16,4,7.72285719048e+18,1e+19,3.15284310943e+18,0.0,0.142857137278,0.0,1755655.21622,1.62911399537e-07,64959243.0,1460
ponzi,3,1,2e+17,2e+17,3,1,1,6.66666666667e+16,2e+17,9.42809041582e+16,0.0,0.666666666667,0.0,82.75,0.0,331.0,2306
ponzi,14,18,1.465564e+19,1.35959587879e+19,14,18,6,1.04683142857e+18,7.55331043771e+17,1.05541174266e+18,1.2757055534e+18,0.54038503753,0.749232862758,3827.28125,7.27479539918e-07,122473.0,2144
ponzi,3,0,0.0,0.0,3,0,0,0.0,0,0.0,0,0.0,0,11167.6666667,0,33503.0,17506
ponzi,86,24,2.6024492e+19,1.83066038175e+19,86,24,15,3.02610372093e+17,7.62775159063e+17,1.02453805026e+18,2.34014653055e+18,0.812782689654,0.858803439277,263063.990909,0.00236600886514,28937039.0,5716
ponzi,223,2,2e+18,2e+18,223,2,1,8.96860986547e+15,1e+18,1.33629277361e+17,9.8e+17,0.995515695067,0.49,73329.56,1.29793317382e-07,16499151.0,4456
ponzi,35,24,7.7681e+19,6.9756e+19,35,24,18,2.21945714286e+18,2.9065e+18,2.90844410386e+18,3.0861833828e+18,0.589606945622,0.502384621634,437264.440678,0.00230866098041,25798602.0,10038
ponzi,55,0,5.5239e+18,0.0,55,0,0,1.00434545455e+17,0,4.40011827204e+17,0,0.951086271393,0,810352.872727,0,44569408.0,4978
ponzi,16,27,1.35e+20,1.35e+20,16,27,4,8.4375e+18,5e+18,2.17855313224e+18,4.472135955e+18,0.0625,0.444444444444,27.6279069767,1.17125888755e-07,1188.0,1988
ponzi,1,0,0.0,0.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3872
ponzi,1,0,0.0,0.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1920
ponzi,281,106,1.01513056807e+20,9.88965e+19,281,106,11,3.61256429919e+17,9.32985849057e+17,1.01243764874e+18,1.32572522093e+18,0.892142707664,0.653687942674,157793.175711,0.000555453661281,61065959.0,10914
ponzi,7,2,6e+20,6e+20,7,2,2,8.57142857143e+19,3e+20,6.38876565e+19,1e+20,0.380952380952,0.166666666667,1028921.66667,0.00156907785492,9260295.0,1820
ponzi,17,40,8.867e+19,8.74987e+19,17,40,2,5.21588235294e+18,2.1874675e+18,1.38604023619e+19,4.81603053678e+18,0.873125070486,0.824607537026,1100670.08772,4.36384287958e-05,62738195.0,2968
ponzi,27,223,4.21041629939e+19,4.06028329939e+19,27,223,17,1.55941344422e+18,1.82075484278e+17,3.63293868854e+18,1.33299004759e+18,0.513638028309,0.648910549715,202832.76,4.5249030217e-05,50708190.0,1566
ponzi,9,8,1.101e+19,1.1001e+19,9,8,3,1.22333333333e+18,1.375125e+18,1.47313724185e+18,2.09738679298e+18,0.564739126047,0.690766748477,9732.41176471,5.97726306197e-07,165451.0,2154
ponzi,1,0,0.0,0.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1990
